video_id,title,description,published_at,view_count,like_count,comment_count
JabvhPBmoVs,FlipTop CripLi - Isabuhay 2025 | Abangan si CripLi ngayong Sabado sa Gubat 15 vs Ban!,"FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- CRIPLI - ISABUHAY 2025 - Tickets: www.facebook.com/FlipTop.BattleLeague 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #CripLi 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop CripLi - Isabuhay 2025
https://youtube.com/shorts/JabvhPBmoVs

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-25T13:49:25Z,24963,601,31
YiJI_ohq4Pc,FlipTop Ban - Isabuhay 2025 | Abangan si Ban ngayong Sabado sa Gubat 15 vs CripLi para sa Isabuhay!,"FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- BAN - ISABUHAY 2025 - Tickets: www.facebook.com/FlipTop.BattleLeague 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #Ban

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop Ban - Isabuhay 2025
https://youtube.com/shorts/JabvhPBmoVs

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-25T13:49:25Z,25918,686,31
yRE3PU0ekaA,FlipTop J-Blaque - Gods Pa Rin? | | Abangan si J-Blaque vs Vitrum ngayong Sabado sa Gubat 15!,"FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- CRIPLI - MULTI AT CHARISMA - Tickets: www.facebook.com/FlipTop.BattleLeague 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #JBlaque 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop J-Blaque - Gods Pa Rin?
https://youtube.com/shorts/yRE3PU0ekaA

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-25T13:49:25Z,15569,331,7
Ftk2DZ3hcxw,"FlipTop Vitrum - Ang HipHop Pinalakas ng mga Tao, hindi yan para sa mga Diyos!","FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- ANG HIPHIP PINALAKAS NG MGA TAO, HINDI YAN PARA SA MGA DIYOS! - Tickets: www.facebook.com/FlipTop.BattleLeague 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #Vitrum

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop Vitrum - Ang HipHop Pinalakas ng mga Tao, hindi yan para sa mga Diyos! 
https://youtu.be/Ftk2DZ3hcxw

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-25T13:48:58Z,25822,411,48
RDiDkJHcnqs,FlipTop - Negho Gy vs Hespero,"FlipTop presents: Zoning 18 @ The TakeOver Lounge, Pop Up, Katipunan, Quezon City. May 24, 2025.   
- NEGHO GY vs HESPERO -

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Zoning18 #NeghoGy #Hespero

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop - Negho Gy vs Hespero
https://youtu.be/RDiDkJHcnqs

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-25T12:44:16Z,322865,4561,756
uvl98LJ1zkg,FlipTop Emar Industriya - Round 2 vs Plazma | Abangan si Emar Industriya vs GL ngayong Sabado!,"FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- EMAR INDUSTRIYA - ROUND 2 VS PLAZMA - Tickets: www.facebook.com/FlipTop.BattleLeague 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #GL 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop GL - Extended Multi
https://youtube.com/shorts/3eyR6mN5dsI

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-23T12:07:16Z,39168,574,64
6ROUOiyY3g0,FlipTop - Ruffian vs JDee,"FlipTop presents: Zoning 18 @ The TakeOver Lounge, Pop Up, Katipunan, Quezon City. May 24, 2025.   
- RUFFIAN vs JDEE - 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Zoning18 #Ruffian #JDee 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop - Ruffian vs JDee
https://youtu.be/6ROUOiyY3g0

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-21T12:23:04Z,607827,12438,2161
3eyR6mN5dsI,FlipTop GL - Extended Multi | Abangan ang pagbabalik ni GL sa Gubat 15 ngayong June 28!,"FlipTop presents: Gubat 15 @ Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- GL - EXTENDED MULTI - PM www.facebook.com/FlipTop.BattleLeague for tickets! 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Gubat15 #GL 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop GL - Extended Multi
https://youtube.com/shorts/3eyR6mN5dsI

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-20T08:10:50Z,30252,898,40
vbrlYaobVsk,FlipTop Silip - Zoning 18,"FlipTop presents: Zoning 18 @ The TakeOver Lounge, Pop Up, Katipunan, Quezon City. May 24, 2025.   
- SILIP - ZONING 18 - 

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #Silip #Zoning18 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop Silip - Zoning 18
https://youtube.com/shorts/vbrlYaobVsk

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-19T12:53:57Z,17079,450,21
FFjS3ITH47M,FlipTop - Gubat 15 | Anygma Machine,"FlipTop presents: Gubat 15, Mariner's Court, Legaspi Ext., Cebu City, Cebu. June 28, 2025.   
- GUBAT 15 ANYGMA MACHINE -

Subscribe Here! http://bit.ly/fliptopsub
Check out our top videos! http://bit.ly/fliptopTopVideos

Facebook: https://www.facebook.com/fliptop.battleleague
Instagram: https://instagram.com/fliptopbattles
Twitter: https://twitter.com/FlipTop_Battles
Patreon: https://patreon.com/fliptop
For Sponsorship: Email partner@fliptop.com.ph 

#FlipTop #AnygmaMachine  #Gubat15 

About fliptopbattles:
FlipTop Kru Corp. is a self-produced events and artist management company with its first product in the FlipTop Battle League. The FlipTop Battle League is the Philippines’ first premier – and the world’s most-viewed – rap battle league. It is popularly credited for the resurgence and widespread acceptance of hiphop culture in the Philippines since its inception in February 2010, and continues to champion all other hiphop elements in its variety of events and online content. It is home to the country’s top Hiphop talents and houses divisions in the main island groups of Luzon, Visayas, and Mindanao.
www.fliptop.com.ph

FlipTop - Gubat 15 | Anygma Machine
https://youtu.be/FFjS3ITH47M

fliptopbattles
https://www.youtube.com/fliptopbattles",2025-06-18T07:44:07Z,71094,1825,263
